tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
old school,D-Nice,rap,Hip-Hop,46928,K-Solo,Dana Dane,Mc Serch,12373
canada,D-Pryde,rap,Hip-Hop,229083,TraPhik,Dumbfoundead & DJ Zo,Wax and EOM,6768
Gangsta Rap,The D.O.C.,rap,Hip-Hop,565433,MC Ren,Above the Law,Eazy-E,122695
female vocalists,Da Brat,rap,Hip-Hop,349833,Foxy Brown,MC Lyte,Lil' Kim,80985
rap,Da$H,underground hip-hop,Hip-Hop,144242,Joey Fatts,Robb Bank$,Da$h & Retch,6568
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Daddy-O,east coast rap,Hip-Hop,2784,Private Investigators,Rough House Survivers,K-Solo,400
underground hip-hop,Damu The Fudgemunk,Hip-Hop,instrumental hip-hop,1785152,K-Def,Y Society,Klaus Layer,65914
indie,Dan Bull,Hip-Hop,rap,672672,Epic Rap Battles Of History,Watsky,Hopsin,28503
rap,Dana Dane,old school,Hip-Hop,39589,UTFO,Doug E. Fresh & The Get Fresh Crew,Whistle,11429
rnb,Danny Boy,rap,Hip-Hop,42678,Jodeci,H-Town,LL Cool J,9416
underground hip-hop,Danny Brown,rap,Hip-Hop,14863175,ScHoolboy Q,Vince Staples,Death Grips,341664
rnb,Dappy,british,rap,481295,N-Dubz,Ironik,Tinchy Stryder,43246
new york,Dave East,rap,Hip-Hop,118730,Fabolous,Styles P,The Lox,12667
underground hip-hop,Daveed Diggs,rap,Hip-Hop,174914,clipping.,K'naan,Dessa,16493
Dirty South,David Banner,Hip-Hop,rap,2148822,Dem Franchize Boyz,Mike Jones,YoungBloodz,412737
New Zealand,David Dallas,hip hop,rap,326591,Hilltop Hoods,@peace,PNC,27305
Electro-Hop,David Rush,rap,Hip-Hop,275920,Jump Smokers,DJ Class,Three 6 Mafia vs. Tiësto with Sean Kingston and Flo Rida,69415
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Daz Dillinger,Gangsta Rap,rap,906399,Tha Dogg Pound,Kurupt,WC,168317
rap,Dazzie Dee,West Coast Rap,G-funk,20253,I Smooth 7,I.F.A.,Vontel,752
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Def Jef,hip hop,Hip-Hop,23954,Kwame,Chill Rob G,Lakim Shabazz,5899
rap,Dej Loaf,hip hop,Hip-Hop,533264,K Camp,Rich Homie Quan,Fetty Wap,77884
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Demrick,seen live,Hip-Hop,51965,Demrick & Cali Cleve,Mark Battles,Dizzy Wright,6104
rap,Deniro Farrar,cloud rap,Hip-Hop,248637,Blue Sky Black Death & Nacho Picasso,Nacho Picasso,Robb Bank$,12193
Southern Hip Hop,Denzel Curry,rap,Hip-Hop,1984313,Flatbush ZOMBiES,The Underachievers,Pouya,66714
seen live,Derek Minor,Christian Rap,Hip-Hop,80165,Tedashii,KB,Trip Lee,4769
hip hop,Desiigner,Hip-Hop,rap,1770743,Travi$ Scott,Lil Yachty,LIL UZI VERT,194811
jazz,Detail,Hip-Hop,Drum and bass,66813,Split Second,Optiv & CZA,Keeno & Whiney,15727
rap,Deuce,hip hop,rapcore,1683620,Hollywood Undead,Manafest,Richy Nix,95751
female vocalists,Dev,pop,electronic,5943388,The Cataracs,Natalia Kills,Havana Brown,549163
Dirty South,Devin the Dude,rap,Hip-Hop,3031757,UGK,Scarface,Z-Ro,170948
UK,Devlin,Hip-Hop,Grime,1785700,Ghetts,Professor Green,Wiley,189027
underground hip-hop,Diabolic,Hip-Hop,death metal,554274,Vinnie Paz,Apathy & Celph Titled,Army of the Pharaohs,42062
hip hop,Diamond,Hip-Hop,rap,340522,Trina,Lil' Kim,Shawnna,54395
DITC,Diamond D,rap,Hip-Hop,395587,Boot Camp Clik,Showbiz & A.G.,Lord Finesse,48039
diggy,Diggy Simmons,rap,Hip-Hop,139922,Diggy,Cyhi Da Prynce,Donnis,11116
hip hop,Dillon Cooper,rap,Hip-Hop,125848,Flatbush ZOMBiES,The Underachievers,CJ FLY,8994
booty bass,Disco D,electro,ghettotech,44559,DJ Nasty,DJ Slugo,Starski and Clutch,6245
NA,NA,NA,NA,NA,NA,NA,NA,NA
seen live,Dizzee Rascal,Hip-Hop,Grime,12008402,Wiley,JME,Kano,724213
funk volume,Dizzy Wright,rap,Hip-Hop,601204,Jarren Benton,Hopsin,Futuristic,39828
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,DJ Cash Money,hip hop,seen live,8445,L'Trimm,A.D.O.R.,MC Shy D,652
rap,DJ Casper,trance,dance,94031,Fast Food Rockers,Eyeopener,Pascal feat. Karen Parry,26264
rap,DJ Clay,Horrorcore,juggalo,372614,Mike E. Clark,2 Dope,Jumpsteady,63980
new york,DJ Clue?,Hip-Hop,rap,21580,DJ Kay Slay,Amil,Drag-On,2760
Dirty South,DJ Drama,rap,Hip-Hop,1088708,DJ Khaled,French Montana,2 Chainz,190030
dj,DJ Felli Fel,rap,Hip-Hop,501721,Ying Yang Twins,Lil Scrappy,Baby Bash,118582
NA,NA,NA,NA,NA,NA,NA,NA,NA
techno,Dj Fuze,rap,electronic,642,Ultimate Buzz,"Smacs, Patrick Kong",groovik & technida project,167
rap,DJ Green Lantern,hip hop,Hip-Hop,219374,"Gostfase, M. Shinoda and Lupe Fiasco",DJ Kay Slay,D-Block,33784
turntablism,DJ Head,rap,Hip-Hop,316,Big Gov,Mersonary Killaz,Rico Fonzarelli,97
funk,DJ Hurricane,seen live,Hip-Hop,9765,Zeb Roc Ski,D-Nice,Ultimate Force,2080
Mixtape DJ,DJ Kay Slay,rap,Hip-Hop,117334,J.R. Writer,Willie the Kid,Styles P And DJ Green Lantern,16665
hip hop,DJ Khaled,rap,Hip-Hop,7909387,DJ Drama,French Montana,Meek Mill,922579
Hip-Hop,DJ Krush,electronic,trip-hop,11623888,DJ Krush & Toshinori Kondo,DJ Cam,DJ Shadow,540578
west coast,DJ Mustard,rap,Hip-Hop,519138,Ty Dolla $ign,YG,DJ Khaled,75771
rap,DJ Paul,hardcore,Hip-Hop,637781,Da Mafia 6ix,Project Pat,Three 6 Mafia,93485
G-funk,DJ Pooh,Gangsta Rap,West Coast Rap,11557,Daddy V,Watts Gangstas,I Smooth 7,1601
producer,DJ Premier,turntablism,Hip-Hop,1702293,DJ Jazzy Jeff,PRhyme,Pete Rock,135087
rap,DJ Quik,Hip-Hop,G-funk,2275900,Tha Dogg Pound,Kurupt,Suga Free,217779
Dirty South,DJ Screw,screw,Hip-Hop,1183380,Fat Pat,Big Moe,Three 6 Mafia,79641
Hip-Hop,DJ Shadow,electronic,trip-hop,33101942,DJ Shadow & Cut Chemist,DJ Krush,UNKLE,1221837
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Doap Nixon,underground hip-hop,Hip-Hop,258317,King Syze,Randam Luck,King Magnetic,23282
Dirty South,Doe B,rap,Hip-Hop,83088,Yo Gotti,Young Dro,Kevin Gates,7437
rap,Dok2,Hip-Hop,Korean,419918,The Quiett,Illionaire Records,Beenzino,11400
rnb,Dolla,Hip-Hop,rap,285276,Drew Sidora,Yung Joc feat. 3LW,Drew Sidora Feat. Mario,55537
west coast,Dom Kennedy,rap,Hip-Hop,2498232,Curren$y,Casey Veggies,Nipsey Hussle,272146
Hip-Hop,Dominique Young Unique,rap,seen live,212180,Rye Rye,Khia,Trina,24808
hip hop,Domino,rap,eurobeat,671214,dom!No,Virginelle,Cherry,64209
rap,Domo Genesis,ofwgkta,Hip-Hop,1758886,Domo Genesis X Alchemist,MellowHype,Hodgy Beats,98658
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Donnis,hip hop,Hip-Hop,747759,U-N-I,TiRon,GLC,200091
southern rap,Dorrough,rap,Hip-Hop,649026,Yung Joc,Gorilla Zoe,Plies,199315
anticon,Doseone,experimental,Hip-Hop,333017,Subtle,Themselves,Sole,17732
rap,Doug E. Fresh,old school,Hip-Hop,111530,MC Lyte,Slick Rick,Kool Moe Dee,33549
rap,Doughbeezy,hip hop,texas,9200,Killa Kyleon,Cory Mo,Propain,876
Gangsta Rap,Dr. Dre,rap,Hip-Hop,35653917,Snoop Dogg,The Game,Ice Cube,2209478
Ruff ryders,Drag-On,Hip-Hop,rap,196541,Styles,D-Block,J-HOOD,43523
rnb,Drake,rap,Hip-Hop,107372559,Big Sean,PARTYNEXTDOOR,Future,3102269
rap,dRes,underground hip-hop,Hip-Hop,10380,DTMD,Boogiemonsters,Small Professor,1854
Hip-Hop,Dresta,rap,west coast,4400,B.G. Knocc Out,Lil Eazy-E,Fo' Clips Eclipse,541
Traxamillion,Drew Deezy,thai,hip hop,7858,"Thai, Drew Deezy & Nump Trump",NUMP Trump,"Thai, Traxamillion & Drew Deezy",1567
underground hip hop,Driicky Graham,rap,hip hop,103968,LoveRance,Finatticz,Yc,21250
Hip-Hop,Droop-E,producer,rap,35810,Emp Dasme,Cousin Fik,Western Tink,5295
Bay Area,Dru Down,rap,G-funk,214030,Celly Cel,Spice 1,C-Bo,40119
southern rap,Drumma Boy,rap,Hip-Hop,38490,Kristyle,Slim Dunkin & D-Bo,Lil Lody,3599
rap,Dumbfoundead,underground hip-hop,Hip-Hop,971653,Wax,Epik High,Pouya,34942
nigeria,Duncan Mighty,african,naijasoundz,26360,eLDee,Sound Sultan,Wande Coal,3563
hip hop,Eve,rap,Hip-Hop,2902927,Lil' Kim,Foxy Brown,Blu Cantrell,464936
hyphy,E-40,Hip-Hop,rap,3033616,Too $hort,Mac Dre,The Jacka,253809
NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,E.S.G.,rap,Dirty South,253969,Fat Pat,Big Moe,DJ Screw,39452
ofwgkta,Earl Sweatshirt,rap,Hip-Hop,13511953,"Tyler, the Creator",Vince Staples,OFWGKTA,286947
rap,Easy Mo Bee,Hip-Hop,underground hip-hop,14779,Smoothe Da Hustler,KRUMB SNATCHA,Freddie Foxxx,2121
Gangsta Rap,Eazy-E,Hip-Hop,rap,4713099,N.W.A,Ice Cube,MC Ren,605117
boston,Ed O.G.,rap,Hip-Hop,416707,Godfather Don,Ed O.G. & Da Bulldogs,Big Shug,48014
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,El Da Sensei,rap,Hip-Hop,293442,Artifacts,Ed O.G.,Large Professor,30621
hip hop,El-P,underground hip-hop,Hip-Hop,6701014,Company Flow,Killer Mike,Aesop Rock,280860
ragga,Elephant Man,reggae,dancehall,1730978,Beenie Man,Busy Signal,Bounty Killer,220556
underground hip-hop,Elzhi,detroit,Hip-Hop,1892085,"Royce da 5'9""",Black Milk,Skyzoo,139978
2pac,Emcee N.I.C.E.,Redman,rakim,74,2Pac/Outlawz,mc toshi,2pac ft b.i.g.,14
NA,NA,NA,NA,NA,NA,NA,NA,NA
sxsw 2015,Eric Biddines,SXSW 2014,florida,7821,Moses Boyd Exodus,Dem Yuut,Particle Devotion,2142
hip hop,Erick Sermon,rap,Hip-Hop,781804,Keith Murray,EPMD,Redman,107371
hip hop,Eric Stanley,Classical,violin,24024,pyrofiliac,Peter Lee Johnson,Jimmy Chaos,1395
rap,Esham,acid rap,Horrorcore,917847,Blaze Ya Dead Homie,Twiztid,Dark Lotus,81286
funeral doom,Esoteric,funeral doom metal,doom metal,1129511,Evoken,Skepticism,Tyranny,51261
hip hop,Eve,rap,Hip-Hop,2902927,Lil' Kim,Foxy Brown,Blu Cantrell,464936
underground hip-hop,Evidence,rap,Hip-Hop,3819896,Dilated Peoples,Step Brothers,The Alchemist,146702
rhymesayers,Eyedea,underground hip-hop,Hip-Hop,610922,Eyedea & Abilities,Kristoff Krane,Oliver Hart,61873
wu-tang,Ghostface Killah,rap,Hip-Hop,13990662,Raekwon,GZA/Genius,Cappadonna,586468
hip hop,Fabolous,rap,Hip-Hop,11252784,Jadakiss,Lloyd Banks,French Montana,1480995
Hip-Hop,Fabri Fibra,italian,rap,1331817,Marracash,Club Dogo,Salmo,45967
hip hop,Fam-Lay,rap,Hip-Hop,103835,Rosco P. Coldchain,Philly's Most Wanted,Pharrell & The Yessirs,30179
rap,Fashawn,underground hip-hop,Hip-Hop,1988012,Blu & Exile,Blu,Elzhi,166825
hip hop,Fat Joe,Hip-Hop,rap,4373923,The Lox,Big Punisher,DJ Drama,674562
Houston,Fat Pat,Dirty South,rap,361641,E.S.G.,Lil Keke,DJ Screw,72913
Hip-Hop,Fat Trel,trap,rap,207338,Shy Glizzy,Que,King Louie,19708
NA,NA,NA,NA,NA,NA,NA,NA,NA
new jack swing,Father MC,rnb,Hip-Hop,70477,Teddy Riley,Chuckii Booker,Tracie Spencer,20032
hip hop,Fatman Scoop,rap,Hip-Hop,434088,Eve,Flo Rida,Lethal Bizzle,94800
female vocalists,Fergie,rnb,pop,18689978,The Pussycat Dolls,Black Eyed Peas,Britney Spears,1713293
trap,Fetty Wap,rap,Hip-Hop,3744263,Rich Homie Quan,Ty Dolla $ign,Kid Ink,288261
rap,Fiend,black metal,Melodic Death Metal,230981,The Unguided,Rise to Fall,Dreamshade,23297
seen live,Flame,Drum and bass,black metal,495964,Tedashii,Trip Lee,Lecrae,42637
rap,Flavor Flav,old school,Hip-Hop,34119,The Trak Kartel,DJ Premier & Bumpy Knuckles,Trump,8178
highlife,Flavour N'abania,nigerian,afrobeat,1163,Flavour,Ice Prince,J. Martins,223
hip hop,Flo Rida,rap,Hip-Hop,30377174,Pitbull,Taio Cruz,Sean Kingston,2021644
Hip-Hop,Flying Lotus,experimental,electronic,41181502,Teebs,Samiyam,J Dilla,696234
rap,Focus...,hip hop,Hip-Hop,21018,Co$$,Freeway & Statik Selektah,Bishop Lamont & Black Milk,1634
alternative,Fonzworth Bentley,hip hop,Hip-Hop,85988,GLC,Donnis,Child Rebel Soldier,26443
alternative,Fort Minor,rap,Hip-Hop,21003203,Jay-Z and Linkin Park,Styles of Beyond,Flipsyde,1192244
Hip-Hop,Foxx,louisiana,rap,235740,Lil Boosie and Webbie,Soulja Slim,Blood Raw,70170
female vocalists,Foxy Brown,rap,Hip-Hop,1178885,Lil' Kim,Remy Ma,Trina,211957
Hip-Hop,Frank Ocean,soul,rnb,50795317,Kanye West,Solange,PARTYNEXTDOOR,1018579
Hip-Hop,Frankie J,pop,rnb,1627749,Mario Vazquez,Mario,Paula DeAnda,232774
memphis rap,Frayser Boy,Hip-Hop,rap,395900,Prophet Posse,Indo G,Crunchy Black,75164
hip hop,Freak Nasty,Hip-Hop,rap,153864,2 Live Crew,69 Boyz,DJ Kool,47986
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Freddie Foxxx,underground hip-hop,Hip-Hop,166308,Bumpy Knuckles,NYGz,Sauce Money,21016
Gangsta Rap,Freddie Gibbs,rap,Hip-Hop,5801264,Freddie Gibbs & Madlib,Jay Rock,Big K.R.I.T.,220211
Hip-Hop,Fredo Santana,trap,drill,457657,Lil Reese,Chief Keef,Lil Durk,23959
Gangsta Rap,Fredro Starr,rap,Hip-Hop,110103,SONNY SEEZA,X-2-C,PMD,9972
producer,Fredwreck,funk,rap,3380,KNOC-TURN'AL,League Of Starz,Bad Lucc,849
rock,Free,blues rock,classic rock,4886500,Bad Company,Humble Pie,Ten Years After,584033
Hip-Hop,Freekey Zekey,Dipset,rap,145169,40 Cal.,Hell Rell,A-Mafia,41404
hip hop,Freeway,rap,Hip-Hop,1459668,Beanie Sigel,Jadakiss,Memphis Bleek,248622
hip hop,French Montana,rap,Hip-Hop,3615563,Meek Mill,2 Chainz,DJ Khaled,409784
NA,NA,NA,NA,NA,NA,NA,NA,NA
juggalo,Fresh Kid Ice,miami,rap,1897,Anybody Killa,JT Money,Violent J,511
hip hop,Froggy Fresh,rap,Hip-Hop,74463,Billy the Fridge,SwizZz,demoz,6273
electronic,Frost,Progressive rock,black metal,656412,Frost*,Spock's Beard,Neal Morse,56062
Hip-Hop,Full Blooded,power electronics,noise,1775,Big Ed,Deterge,MJG,250
turntablism,Funkmaster Flex,rap,Hip-Hop,264410,Slum Village,Proof,Das EFX,40873
Dirty South,Future,rap,Hip-Hop,12412099,Young Thug,Migos,Gucci Mane,487550
old school rap,Grandmaster Caz,rap,Hip-Hop,16706,Fantastic Freaks,Fab 5 Freddy,Busy Bee,4533
rap,Grandmaster Flash,old school,Hip-Hop,868827,Grandmaster Flash and The Furious Five,The Sugarhill Gang,Kurtis Blow,162920
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,G-Eazy,rap,Hip-Hop,6112930,Skizzy Mars,Logic,Hoodie Allen,341475
East Coast,G. Dep,rap,Hip-Hop,72096,Drag-On,Young Gunz,Peedi Crakk,15057
music,Gaeko,Korean,hip hop,36637,Yankie,Rhythm Power,Peejay,3391
Gangsta Rap,The Game,Hip-Hop,rap,27758609,Jay Rock,Rick Ross,Lloyd Banks,1948869
Hip-Hop,Gangsta Blac,memphis rap,memphis,80820,Playa Fly,The Kaze,Manson Family,12910
hip hop,Gangsta Boo,Hip-Hop,rap,295567,Evil Pimp,Three 6 Mafia,DJ Paul,56169
NA,NA,NA,NA,NA,NA,NA,NA,NA
indie,Gary,german,seen live,107079,Slut,Locas In Love,Angelika Express,11251
croatian,General Woo,Hip-Hop,rap,55337,Tram 11,El Bahattee,Blackout Project,1474
NA,NA,NA,NA,NA,NA,NA,NA,NA
UK hip hop,Giggs,rap,Grime,875843,Chip,Kano,Wretch 32,108796
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Glasses Malone,rap,west coast,205572,Red Cafe,The Game,Chinx,43248
chicago,GLC,underground hip-hop,Hip-Hop,249638,Fonzworth Bentley,U-N-I,Donnis,86346
Hip-Hop,Goldie Loc,West Coast Rap,G-funk,26417,Bad Azz,Soopafly,Battlecat,4731
Crunk,Gorilla Zoe,Hip-Hop,rap,3147872,Boyz N Da Hood,Yung Joc,Lil Scrappy,601601
hip hop,Grafh,rap,Hip-Hop,143419,Stack Bundles,J-HOOD,Hell Rell,23871
hip hop,Grand Puba,rap,Hip-Hop,451593,Brand Nubian,Keith Murray,Black Moon,61910
old school rap,Grandmaster Caz,rap,Hip-Hop,16706,Fantastic Freaks,Fab 5 Freddy,Busy Bee,4533
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Greydon Square,atheism,Hip-Hop,244682,Gripp,TOMBSTONE DA DEADMAN,Input,5376
rap,Grieves,underground hip-hop,Hip-Hop,2995118,Atmosphere,Brother Ali,Eyedea & Abilities,108869
Dirty South,Gucci Mane,rap,Hip-Hop,13630144,Future,2 Chainz,Chief Keef,1114634
rap,Gudda Gudda,young money,Hip-Hop,1617069,Jae Millz,Lil Twist,Triple C's,472502
west coast,Guerilla Black,rap,Hip-Hop,145808,Young Gunz,KNOC-TURN'AL,Lil' Zane,24296
underground hip-hop,Guilty Simpson,Stones throw,Hip-Hop,1471974,Sean Price,Black Milk,Random Axe,117790
trap,Gunplay,rap,Hip-Hop,439139,Rick Ross,Waka Flocka Flame,Fat Trel,51293
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Desi Hip Hop,Hard Kaur,Bhangra,Indian,29552,Anushka Manchanda,Salim Merchant,Tochi Raina,5459
rap,Hasan Salaam,hip hop,Hip-Hop,46653,Akir,Mohammad Dangerfield,The Lost Children of Babylon,2991
hip hop,Havoc,rap,Hip-Hop,417063,Prodigy of Mobb Deep,The Alchemist,Mobb Deep,65444
rnb,Heavy D,rap,Hip-Hop,90572,Heavy D & The Boyz,MC Lyte,Whodini,16209
american,Hemlock Ernst,rap,Hip-Hop,5515,Chimurenga Renaissance,Milo,Uncommon Nasa,507
compton,Hi-C,Hip-Hop,rap,55187,Mausberg,Battlecat,Lil 1/2 Dead,11195
underground hip-hop,Hi-Tek,rap,Hip-Hop,1349275,Reflection Eternal,Little Brother,Talib Kweli,141223
seen live,Hit-Boy,rap,Hip-Hop,157217,HS87,Casey Veggies,Audio Push,10782
US Power Metal,Hittman,heavy metal,Power metal,36827,Titan Force,Apollo Ra,Exxplorer,3647
rap,Hodgy Beats,ofwgkta,Hip-Hop,1211795,MellowHype,Mike G,Domo Genesis,56205
hip hop,Honey Cocaine,rap,Hip-Hop,306596,Lil Debbie,Snow Tha Product,Chanel West Coast,15149
rap,Hoodie Allen,alternative rap,Hip-Hop,4906783,OCD: Moosh & Twist,Skizzy Mars,G-Eazy,272659
rap,Hopsin,underground hip-hop,Hip-Hop,2803548,Tech N9ne,Jarren Benton,Dizzy Wright,160606
Dirty South,Hot Dollar,rap,Hip-Hop,33539,2 Pistols,Ya Boy,Yung Berg,4847
hip hop,Huey,Hip-Hop,rap,617595,Unk,Dem Franchize Boyz,Jibbs,189766
Dirty South,Hurricane Chris,Hip-Hop,rap,896440,Dem Franchize Boyz,Unk,Yung Joc,253194
Hip-Hop,Hurricane G,hip hop,rap,10021,PMD,Thirstin Howl III,Kurious,1843
Gangsta Rap,Hush,rap,Hip-Hop,493848,Suni Clay,Styles of Beyond,Sly Boogy,74164
Hip-Hop,Hussein Fatal,Gangsta Rap,rap,39636,HARDTIMERZ,Big Syke,Young Noble,4668
Gangsta Rap,Ice Cube,Hip-Hop,rap,18132312,Eazy-E,N.W.A,Westside Connection,1434991
Dirty South,I-20,Hip-Hop,rap,102629,Dirtbag,8 Ball,Black Child,29392
san francisco,Iamsu!,rap,Hip-Hop,469748,Problem,Philthy Rich,Clyde Carson,37810
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Ice-T,Gangsta Rap,Hip-Hop,1650215,MC Ren,Above the Law,The D.O.C.,196336
pop,Iggy Azalea,rap,Hip-Hop,19797348,Nicki Minaj,Brooke Candy,Fergie,619937
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Ill Bill,rap,Hip-Hop,2979103,Necro,La Coka Nostra,Slaine,168776
instrumental,Illmind,hip hop,Hip-Hop,74754,Dessa,K'naan,Daveed Diggs,10818
rap,iLoveMakonnen,seen live,Hip-Hop,580963,Father,Young Thug,Chief Keef,61286
underground hip-hop,Immortal Technique,rap,Hip-Hop,10834344,Jedi Mind Tricks,Army of the Pharaohs,Vinnie Paz,473906
desi,Imran Khan,Punjabi,Bhangra,254040,Mika Singh,Diljit Dosanjh,Bilal Saeed,13374
memphis,Indo G,Hip-Hop,rap,124096,Prophet Posse,The Kaze,Crunchy Black,31407
rap,Inspectah Deck,wu-tang,Hip-Hop,1146510,Masta Killa,Cappadonna,U-God,138860
underground hip-hop,Isaiah Rashad,rap,Hip-Hop,3384840,Mick Jenkins,ScHoolboy Q,Ab-Soul,93865
afropop,Iyanya,africa,nigeria,72553,Timaya,Davido,P-Square,6849
pop,Iyaz,Hip-Hop,rnb,4225479,Sean Kingston,Jay Sean,Taio Cruz,665924
hip hop,Jay-Z,rap,Hip-Hop,81268327,Nas,Jay-Z & Kanye West,Kanye West,3071840
hip hop,Kanye West,rap,Hip-Hop,194274941,Jay-Z & Kanye West,Kendrick Lamar,Drake,4149941
seen live,Kendrick Lamar,rap,Hip-Hop,66370601,Joey Bada$$,Kanye West,J. Cole,1167852
hip hop,KRS-One,rap,Hip-Hop,5300209,Boogie Down Productions,Rakim,EPMD,481266
underground hip-hop,J Dilla,instrumental hip-hop,Hip-Hop,23942718,Jaylib,Madlib,Slum Village,497704
